t/di,diam_in,psi,thick_in,thick_mm,deflect_mm,deflect_in
0.036,3.33,0,0,0,0,0
0.036,3.33,1000,.119,3.022,82.9555,3.265
0.036,3.33,2000,.119,3.022,165.911,6.531
0.036,3.33,4000,.119,3.022,331.822,13.063
0.036,3.33,8000,.119,3.022,663.645,26.127
0.058,4.0,0,0,0,0,0
0.058,4.0,1000,.232,5.892,28.2561,1.112
0.058,4.0,2000,.232,5.892,56.5121,2.224
0.058,4.0,4000,.232,5.892,113.024,4.449
0.058,4.0,8000,.232,5.892,226.049,8.899
0.058,4.0,16000,.232,5.892,452.097,17.799
0.058,4.0,28000,.232,5.892,791.17,31.148
0.082,1.5,0,0,0,0,0
0.082,1.5,1000,.123,3.124,3.48053,.137
0.082,1.5,2000,.123,3.124,6.96104,.274
0.082,1.5,4000,.123,3.124,13.9221,.548
0.082,1.5,8000,.123,3.124,27.8442,1.096
0.082,1.5,16000,.123,3.124,55.6883,2.192
0.082,1.5,28000,.123,3.124,97.4546,3.836
0.102,3.33,0,0,0,0,0
0.102,3.33,1000,.339,8.610,4.65786,.183
0.102,3.33,2000,.339,8.610,9.31571,.366
0.102,3.33,4000,.339,8.610,18.6314,.733
0.102,3.33,8000,.339,8.610,37.2629,1.467
0.102,3.33,16000,.339,8.610,74.5256,2.934
0.102,3.33,28000,.339,8.610,130.42,5.134
0.110,4.0,0,0,0,0,0
0.110,4.0,1000,.440,11.176,4.59338,.180
0.110,4.0,2000,.440,11.176,9.18675,.361
0.110,4.0,4000,.440,11.176,18.3735,.723
0.110,4.0,8000,.440,11.176,36.7471,1.446
0.110,4.0,16000,.440,11.176,73.494,2.893
0.110,4.0,28000,.440,11.176,128.615,5.063
0.156,1.5,0,0,0,0,0
0.156,1.5,1000,.234,5.943,.613,.024
0.156,1.5,2000,.234,5.943,1.22724,.048
0.156,1.5,4000,.234,5.943,2.45449,.096
0.156,1.5,8000,.234,5.943,4.90898,.193
0.156,1.5,16000,.234,5.943,9.81795,.386
0.156,1.5,28000,.234,5.943,17.1814,.676
0.182,3.33,0,0,0,0,0
0.182,3.33,1000,.606,15.392,1.02162,.040
0.182,3.33,2000,.606,15.392,2.04323,.080
0.182,3.33,4000,.606,15.392,4.08646,.160
0.182,3.33,8000,.606,15.392,8.17293,.321
0.182,3.33,16000,.606,15.392,16.3458,.643
0.182,3.33,28000,.606,15.392,28.6052,1.126
0.228,1.5,0,0,0,0,0
0.228,1.5,1000,.342,8.686,.253,.009
0.228,1.5,2000,.342,8.686,.506,.019
0.228,1.5,4000,.342,8.686,1.01316,.039
0.228,1.5,8000,.342,8.686,2.02633,.079
0.228,1.5,16000,.342,8.686,4.05266,.159
0.228,1.5,28000,.342,8.686,7.09215,.279
0.241,4.0,0,0,0,0,0
0.241,4.0,1000,.964,24.485,.709,.027
0.241,4.0,2000,.964,24.485,1.4183,.055
0.241,4.0,4000,.964,24.485,2.8366,.111
0.241,4.0,8000,.964,24.485,5.67321,.223
0.241,4.0,16000,.964,24.485,11.3464,.446
0.241,4.0,28000,.964,24.485,19.8562,.781
0.251,3.33,0,0,0,0,0
0.251,3.33,1000,.835,21.209,.536,.021
